Colour convertions from Jordi et al. (2010) A&A 523 A48

 Teff   g   M/H  G-Gbp    G-Grp   Gbp-Grp G-V     V-Ic    V-Rc    B-V    Gbp-V    Gbp-Ic  Grp-V   Grp-Ic   g-r     r-i     G-g     G-r     G-i     G-z     BC G    BC Gbp  BC Grp
 3200 -0.5 -2.0  -1.346   1.181   2.527  -1.041   2.391   1.155   2.726   0.305   2.696  -2.222   0.169    2.267   0.880  -2.566  -0.299   0.581   1.336  -1.332  -2.678  -0.151
 3200 -0.3 -2.0  -1.270   1.149   2.419  -0.951   2.263   1.100   2.679   0.319   2.582  -2.100   0.163    2.197   0.810  -2.438  -0.241   0.569   1.275  -1.245  -2.516  -0.096
 3200  0.0 -2.0  -1.174   1.104   2.278  -0.837   2.093   1.029   2.617   0.337   2.430  -1.941   0.152    2.106   0.717  -2.273  -0.167   0.550   1.189  -1.128  -2.302  -0.024
 3200  0.3 -2.0  -1.103   1.069   2.172  -0.753   1.966   0.973   2.561   0.350   2.316  -1.822   0.144    2.026   0.650  -2.144  -0.118   0.532   1.125  -1.036  -2.139   0.032
 3200  0.6 -2.0  -1.038   1.035   2.073  -0.674   1.846   0.915   2.500   0.364   2.210  -1.709   0.137    1.941   0.590  -2.019  -0.078   0.512   1.066  -0.949  -1.987   0.085
 3200  3.5 -2.0  -1.186   1.090   2.276  -0.969   2.280   1.197   2.222   0.217   2.497  -2.059   0.221    2.259   0.779  -2.390  -0.131   0.648   1.054  -0.441  -1.627   0.649
 3200  4.0 -2.0  -1.174   1.090   2.264  -0.949   2.278   1.168   2.225   0.225   2.503  -2.039   0.239    2.254   0.782  -2.383  -0.129   0.653   1.059  -0.436  -1.610   0.655
 3200  4.5 -2.0  -1.167   1.090   2.257  -0.931   2.273   1.144   2.231   0.236   2.509  -2.021   0.252    2.246   0.797  -2.379  -0.133   0.664   1.054  -0.417  -1.585   0.672
 3200  5.0 -2.0  -1.160   1.088   2.248  -0.912   2.267   1.121   2.230   0.248   2.515  -2.000   0.267    2.233   0.813  -2.371  -0.138   0.675   1.045  -0.381  -1.541   0.707
 3200  5.5 -2.0  -1.148   1.084   2.232  -0.890   2.255   1.096   2.215   0.258   2.513  -1.974   0.281    2.215   0.825  -2.355  -0.140   0.685   1.031  -0.325  -1.472   0.760
